Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
87.310,1.254,-3.761,7.77445632577746e-05,1.28888693064828e-05,-1.28888693064828e-05
91.080,2.498,-2.517,0.00010509020439675,1.27658259379505e-05,-1.27658259379505e-05
95.960,2.633,-2.382,6.59702790062811e-05,8.32307106207414e-06,-8.32307106207414e-06
100.922,2.686,-2.329,3.94590478490953e-05,6.01400846794774e-06,-6.01400846794774e-06
106.178,2.444,-2.571,4.96468418281694e-05,6.86321528989293e-06,-6.86321528989293e-06
111.039,2.598,-2.417,3.96004263202576e-05,5.95162733019306e-06,-5.95162733019306e-06
116.298,2.353,-2.661,2.98038148097264e-05,4.80360014989545e-06,-4.80360014989545e-06
120.863,2.803,-2.212,2.65116411267101e-05,4.27609081611864e-06,-4.27609081611864e-06
126.207,2.473,-2.542,1.83512727072878e-05,3.32007799223037e-06,-3.32007799223037e-06
133.663,5.046,-4.983,1.01498931395339e-05,1.61391518584199e-06,-1.61391518584199e-06
143.234,5.505,-4.524,7.3765466968614e-06,1.25290349962401e-06,-1.25290349962401e-06
155.040,6.235,-6.301,5.90799882394388e-06,1.00509380118623e-06,-1.00509380118623e-06
171.285,10.049,-10.009,3.15539258355068e-06,5.80445533131534e-07,-5.80445533131534e-07
193.913,15.002,-12.579,1.52701575777046e-06,3.46813904532516e-07,-3.46813904532516e-07
233.355,43.256,-24.441,6.27704422410551e-07,1.40953516460613e-07,-1.40953516460613e-07
368.289,171.589,-91.678,1.80718186064767e-07,4.13395399363761e-08,-4.13395399363761e-08
693.925,84.147,-154.047,6.2051381617765e-08,1.23023159450485e-08,-1.23023159450485e-08
5222.678,193.394,-165.015,3.37194866016297e-07,7.65838113935094e-08,-7.65838113935094e-08
5613.452,207.490,-197.38,3.23264302315814e-07,7.40661750792921e-08,-7.40661750792921e-08
6010.024,170.591,-189.081,3.24392453095429e-07,7.39341957036909e-08,-7.39341957036909e-08
6349.220,120.674,-168.605,2.88709281013994e-07,6.57026567638542e-08,-6.57026567638542e-08
6644.079,191.925,-174.186,2.65009250029264e-07,5.83111596433177e-08,-5.83111596433177e-08
7231.155,396.832,-395.15,2.24911622614808e-07,3.81091651782004e-08,-3.81091651782004e-08
11079.774,83.900,-81.012,1.85166989936319e-07,4.16597402485443e-08,-4.16597402485443e-08
11215.172,48.794,-51.498,1.51264008533515e-07,3.42006680598577e-08,-3.42006680598577e-08
11322.729,41.529,-58.763,8.2720391108233e-08,1.82641200936348e-08,-1.82641200936348e-08
11408.622,28.347,-44.365,6.48808782825202e-08,1.45434370118963e-08,-1.45434370118963e-08
11469.045,38.128,-32.076,5.74266816774498e-08,1.29042225405304e-08,-1.29042225405304e-08
11568.316,36.643,-61.142,4.9476761692406e-08,1.11866582584611e-08,-1.11866582584611e-08
11671.363,48.932,-66.404,5.12354229929018e-08,1.15271865282082e-08,-1.15271865282082e-08
11757.625,45.410,-37.33,8.38566259130111e-08,1.88432387095333e-08,-1.88432387095333e-08
11861.773,89.193,-58.738,7.61899427713041e-08,1.74167521860181e-08,-1.74167521860181e-08
12048.282,83.210,-97.316,8.22336152907576e-08,1.86568149070203e-08,-1.86568149070203e-08
12227.953,58.991,-96.462,8.6527287691293e-08,1.95856167357185e-08,-1.95856167357185e-08
12362.170,47.632,-75.226,1.77570636150087e-07,3.90681233481705e-08,-3.90681233481705e-08
12460.655,56.961,-50.853,2.95033746446939e-07,6.65420829091732e-08,-6.65420829091732e-08
12580.884,57.082,-63.268,2.67794221155685e-07,6.06231484765234e-08,-6.06231484765234e-08
12669.916,43.269,-31.95,3.68227303737792e-07,8.27435592994927e-08,-8.27435592994927e-08
12773.067,60.407,-59.881,2.19961746946284e-07,4.95491154480055e-08,-4.95491154480055e-08
12910.709,68.188,-77.236,1.53677268999344e-07,3.40918621014923e-08,-3.40918621014923e-08
13149.489,266.707,-170.592,1.70004452651269e-07,3.03783999544639e-08,-3.03783999544639e-08
16679.659,41.393,-48.87,1.25770343378267e-07,2.76063908414669e-08,-2.76063908414669e-08
16801.754,47.170,-80.702,8.65062527265244e-08,1.96076115762834e-08,-1.96076115762834e-08
16916.820,85.049,-67.896,9.2451459805544e-08,2.09032398457942e-08,-2.09032398457942e-08
17061.711,50.480,-59.841,1.84251018554569e-07,4.0442817514176e-08,-4.0442817514176e-08
17182.482,85.162,-70.291,1.33586243422837e-07,3.0392002569849e-08,-3.0392002569849e-08
17312.131,30.732,-44.487,2.87560738712675e-07,6.48567370182845e-08,-6.48567370182845e-08
17421.277,56.980,-78.415,1.53762547730467e-07,3.47226616850615e-08,-3.47226616850615e-08
