Times,Freqs,Fluxes,FluxErrs
2.753508E+04,2.000000E+18,6.288545E-06,1.677962E-06
2.841414E+04,2.000000E+18,7.402005E-06,1.959950E-06
2.919035E+04,2.000000E+18,6.761210E-06,1.683251E-06
3.428085E+04,2.000000E+18,4.202711E-06,8.509316E-07
3.930497E+04,2.000000E+18,7.709431E-06,2.069354E-06
4.086322E+04,2.000000E+18,9.943715E-06,2.629841E-06
4.479215E+04,2.000000E+18,1.184449E-05,2.649694E-06
7.894999E+04,2.000000E+18,7.802286E-06,1.980831E-06
8.981777E+04,2.000000E+18,6.132306E-06,1.655809E-06
1.091187E+05,2.000000E+18,2.877794E-06,7.069392E-07
1.215362E+05,2.000000E+18,4.098461E-06,8.566707E-07
1.680908E+05,2.000000E+18,2.895486E-06,6.667641E-07
1.880268E+05,2.000000E+18,1.575993E-06,4.256834E-07
2.020922E+05,2.000000E+18,2.372359E-06,4.960199E-07
2.396139E+05,2.000000E+18,2.100555E-06,5.338560E-07
2.662258E+05,2.000000E+18,1.334941E-06,3.628435E-07
3.466506E+05,2.000000E+18,1.193448E-06,3.423575E-07
4.270462E+05,2.000000E+18,1.043809E-06,3.098089E-07
4.966713E+05,2.000000E+18,1.543568E-06,4.381785E-07
5.863555E+05,2.000000E+18,5.640911E-07,1.699682E-07
6.496011E+05,2.000000E+18,6.673602E-07,1.980183E-07
6.907514E+05,2.000000E+18,8.980376E-07,2.737070E-07
7.375622E+05,2.000000E+18,1.364484E-06,3.729564E-07
7.938854E+05,2.000000E+18,9.758107E-07,3.028763E-07
8.660602E+05,2.000000E+18,9.043240E-07,2.820180E-07
9.488633E+05,2.000000E+18,5.763522E-07,1.664204E-07
1.063293E+06,2.000000E+18,2.580263E-07,7.869530E-08
1.162021E+06,2.000000E+18,1.667123E-07,5.185387E-08
1.276912E+06,2.000000E+18,1.464220E-07,4.592779E-08
1.425227E+06,2.000000E+18,2.879857E-07,8.034077E-08
1.704360E+06,2.000000E+18,1.332391E-07,4.691778E-08
2.038588E+06,2.000000E+18,1.618481E-07,5.677990E-08
2.193518E+06,2.000000E+18,9.532428E-08,3.788078E-08
