Times,Freqs,Fluxes,FluxErrs
3.612271E+03,2.000000E+18,6.796444E-05,1.529795E-05
3.703145E+03,2.000000E+18,5.604171E-05,1.260038E-05
3.860475E+03,2.000000E+18,3.488836E-05,7.905277E-06
3.993372E+03,2.000000E+18,4.846832E-05,1.087361E-05
4.087648E+03,2.000000E+18,5.271517E-05,1.180041E-05
4.215073E+03,2.000000E+18,3.749485E-05,8.411773E-06
4.333611E+03,2.000000E+18,4.857534E-05,1.088565E-05
4.435205E+03,2.000000E+18,4.614518E-05,1.040968E-05
4.581991E+03,2.000000E+18,4.055349E-05,8.715530E-06
4.949048E+03,2.000000E+18,5.735495E-05,1.487423E-05
5.191530E+03,2.000000E+18,5.868849E-05,1.000163E-05
9.706423E+03,2.000000E+18,1.426113E-05,3.742246E-06
9.935877E+03,2.000000E+18,1.192905E-05,3.120746E-06
1.020499E+04,2.000000E+18,1.656956E-05,4.330348E-06
1.052888E+04,2.000000E+18,1.077371E-05,2.812785E-06
1.094292E+04,2.000000E+18,1.057788E-05,2.672101E-06
1.494881E+04,2.000000E+18,1.623406E-05,4.343337E-06
1.555854E+04,2.000000E+18,1.973784E-05,5.164313E-06
1.624782E+04,2.000000E+18,1.684718E-05,3.210412E-06
2.076720E+04,2.000000E+18,1.043955E-05,2.732840E-06
2.145097E+04,2.000000E+18,7.649872E-06,2.008364E-06
2.209107E+04,2.000000E+18,5.504313E-06,1.453495E-06
2.681151E+04,2.000000E+18,3.391612E-06,8.985009E-07
2.790354E+04,2.000000E+18,3.571897E-06,9.457022E-07
3.288525E+04,2.000000E+18,2.233766E-06,4.611069E-07
3.885965E+04,2.000000E+18,1.145709E-06,3.070304E-07
4.449161E+04,2.000000E+18,1.475108E-06,3.225371E-07
5.082457E+04,2.000000E+18,1.077613E-06,2.541977E-07
6.586267E+04,2.000000E+18,4.367416E-07,8.661855E-08
