Times,TimeBnds,Fluxes,FluxErrs,Freqs
249.489,6.023,4.5315202039305e-10,1.01601203592076e-10,2e+17
1262.089,5.959,5.17100895026316e-10,1.05789947084173e-10,2e+17
1275.222,7.87,3.73600839527471e-10,7.99451993186763e-11,2e+17
1289.246,6.382999999999999,4.66779845427189e-10,9.77877823771454e-11,2e+17
1301.175,6.99,4.5809245828758803e-10,1.00478810633892e-10,2e+17
1319.0929999999998,9.131,3.13011778180954e-10,6.706232137617171e-11,2e+17
1336.115,7.153,3.59840886965808e-10,8.05712598864204e-11,2e+17
1351.806,9.013,3.26026517752712e-10,6.96795094152318e-11,2e+17
1367.9579999999999,7.905,3.3683335427816396e-10,7.55213979768103e-11,2e+17
1384.75,8.664,2.91531787688015e-10,6.39450776270825e-11,2e+17
1401.433,7.025,3.28791459137026e-10,7.38178353775515e-11,2e+17
1416.649,11.867,2.7645332704126403e-10,5.90845270559696e-11,2e+17
1437.0520000000001,11.523,2.8104530961901604e-10,6.03618637993136e-11,2e+17
1454.8370000000002,8.782,3.5760395356846296e-10,7.99626866947353e-11,2e+17
1473.799,9.878,3.0638560820767006e-10,6.433725794245599e-11,2e+17
1494.736,11.507,2.92419846351794e-10,6.02299540728479e-11,2e+17
1511.935,9.352,3.96501958307953e-10,8.515918282086421e-11,2e+17
1529.1760000000002,9.662,2.9339767320792005e-10,6.622919593093979e-11,2e+17
1547.23,9.158999999999999,3.00927304876582e-10,6.72893834245105e-11,2e+17
1567.318,9.129,2.80291108242465e-10,5.99047644370517e-11,2e+17
1588.158,8.347999999999999,2.8774060134007697e-10,6.04220310144029e-11,2e+17
1607.046,9.519,2.88679618000731e-10,5.939242476793621e-11,2e+17
1627.8410000000001,8.782,2.6162349705517503e-10,5.865858764710011e-11,2e+17
1650.281,8.908,2.76248099473878e-10,6.074913087874771e-11,2e+17
1672.503,14.265999999999998,2.4804873336046003e-10,5.320944879203699e-11,2e+17
1691.896,4.9030000000000005,6.53212606737287e-10,1.39435880001761e-10,2e+17
1705.82,8.531,3.33357920568083e-10,7.49442711377003e-11,2e+17
1722.286,7.108,3.8260269078926404e-10,8.40288829642475e-11,2e+17
1740.247,9.205,3.17908313701512e-10,6.48927715886414e-11,2e+17
1762.463,12.062999999999999,2.3027343952469798e-10,4.8526055361540797e-11,2e+17
1783.4129999999998,8.664,2.92327271035823e-10,6.403711905146179e-11,2e+17
1806.3529999999998,13.305,1.9247697152182198e-10,4.33892862014263e-11,2e+17
1826.8770000000002,7.825,4.0073942942628996e-10,8.778585872883941e-11,2e+17
1845.225,7.027,3.3827153480388403e-10,7.59462100872856e-11,2e+17
1859.27,8.026,3.8262124840855796e-10,8.56719365926144e-11,2e+17
1875.868,6.473,4.69985223969066e-10,9.430147361462959e-11,2e+17
1897.5529999999999,9.861,2.1803067929063901e-10,4.7700390619681897e-11,2e+17
1919.1879999999999,10.792,2.1651855076104798e-10,4.8611150012295897e-11,2e+17
1936.017,6.499,4.79141754556554e-10,1.0227840868329501e-10,2e+17
1961.207,11.397,2.74072585120745e-10,5.38615086159206e-11,2e+17
1980.744,11.918,3.00469154070378e-10,6.75503411666961e-11,2e+17
2004.165,11.062999999999999,2.65812612018222e-10,5.67408234432096e-11,2e+17
2027.695,10.099,2.48250888068011e-10,5.42422755429685e-11,2e+17
2046.692,6.146,3.73561095161967e-10,8.36432843438823e-11,2e+17
2066.9429999999998,10.968,2.7107535919269397e-10,5.6855588745981795e-11,2e+17
2089.4120000000003,11.065,2.9583149594134197e-10,6.38520985630236e-11,2e+17
2115.131,12.927,2.23440560620395e-10,5.02330637877349e-11,2e+17
2138.075,12.548,2.8939290949262303e-10,6.19259141792682e-11,2e+17
2164.399,11.298,2.37207759551176e-10,5.2163856286148296e-11,2e+17
2184.468,8.779,3.28298049525605e-10,7.3707079216252e-11,2e+17
2208.097,12.731,2.3413364775377003e-10,5.14214655054718e-11,2e+17
2233.6020000000003,12.3,2.40175764485765e-10,5.39954194412917e-11,2e+17
2258.178,10.289000000000001,2.65246394217622e-10,5.94708700271615e-11,2e+17
2286.132,9.916,2.0971756636357098e-10,4.6957430389987e-11,2e+17
2305.194,8.405,3.15304197017342e-10,7.088551318410259e-11,2e+17
2324.0370000000003,9.62,3.22871085129589e-10,6.63519703489043e-11,2e+17
2341.551,9.657,3.0468582544542603e-10,6.87772808400211e-11,2e+17
2365.988,12.800999999999998,1.87975470970881e-10,4.24320489072293e-11,2e+17
2393.224,10.639000000000001,2.3017400092119998e-10,4.81635764801523e-11,2e+17
2425.081,21.398000000000003,2.22958625669117e-10,3.59748759303594e-11,2e+17
6633.996,14.751,7.367610905276709e-11,1.6124743632505e-11,2e+17
6662.304,14.024000000000001,1.03740299484494e-10,2.2242047684133198e-11,2e+17
6696.3769999999995,17.56,6.874229247937509e-11,1.53949542699869e-11,2e+17
6729.727,14.298,8.769125424678542e-11,1.97298777048345e-11,2e+17
6770.218000000001,21.445999999999998,6.55584698964222e-11,1.43692543452001e-11,2e+17
6816.973000000001,22.33,7.25494204813063e-11,1.63738099993352e-11,2e+17
6862.608,19.319000000000003,7.56187839358945e-11,1.70400685612531e-11,2e+17
6902.753000000001,19.291,7.811600645138991e-11,1.7172231319045e-11,2e+17
6942.694,14.452,9.409660779367391e-11,1.9646813737632398e-11,2e+17
6973.331999999999,11.395,1.1751464757568402e-10,2.45363518187307e-11,2e+17
6996.878000000001,10.415,1.41321610128703e-10,2.9546718769612696e-11,2e+17
7028.095,14.3,7.90633406629572e-11,1.77063690178945e-11,2e+17
7059.045,13.437999999999999,9.50038182377903e-11,2.0761981876279302e-11,2e+17
7096.91,28.226999999999997,4.84993612335235e-11,1.0928926094726499e-11,2e+17
7146.818,15.927999999999999,6.45356052597197e-11,1.4475176070971601e-11,2e+17
7181.302,19.054000000000002,7.05155185981217e-11,1.54557506817063e-11,2e+17
7228.722,16.766,6.407436682060161e-11,1.36990559059533e-11,2e+17
7262.281999999999,20.815,6.9299043819822e-11,1.56645709287095e-11,2e+17
7304.522,16.186,7.187570401737591e-11,1.57076065978522e-11,2e+17
7341.507,21.824,6.123005497790261e-11,1.37763102416871e-11,2e+17
7381.055,12.364,9.409325922919971e-11,2.06235689156228e-11,2e+17
7416.159000000001,14.87,7.55382851446155e-11,1.6605559668408402e-11,2e+17
7453.335,15.304,7.095536341339929e-11,1.59397366008904e-11,2e+17
7484.808000000001,18.933,7.903260190730659e-11,1.72716548248029e-11,2e+17
7520.154,11.167,9.522484406700079e-11,2.0779769991265998e-11,2e+17
7552.741,16.191,7.259879447073541e-11,1.5543384504178e-11,2e+17
7586.727,14.799000000000001,7.87853823934204e-11,1.76987141789169e-11,2e+17
7613.521,15.585999999999999,9.78515378453699e-11,2.1352951546985e-11,2e+17
7652.661999999999,21.576999999999998,5.4757054586472895e-11,1.2319930120549699e-11,2e+17
7692.353,14.481,8.08760589672245e-11,1.73155593653686e-11,2e+17
7727.882,29.098000000000003,4.8183933703422e-11,1.0774255744312698e-11,2e+17
7779.235,30.399,4.79900074181235e-11,1.05340707611126e-11,2e+17
7832.25,17.500999999999998,6.5939345636645e-11,1.43891516002268e-11,2e+17
7884.078,28.355999999999998,4.10219704429888e-11,9.31622763025842e-12,2e+17
7935.861999999999,21.703000000000003,5.6066340605755394e-11,1.26145125642104e-11,2e+17
7979.7480000000005,20.442,5.77718441720756e-11,1.29982345881595e-11,2e+17
8021.153,16.647000000000002,7.22542365112473e-11,1.54696266358582e-11,2e+17
