Times,Freqs,Fluxes,FluxErrs
1.262089E+03,2.000000E+18,9.683501E-03,1.981078E-03
1.275222E+03,2.000000E+18,5.481184E-03,1.172894E-03
1.289246E+03,2.000000E+18,7.093007E-03,1.485945E-03
1.301175E+03,2.000000E+18,9.279119E-03,2.035298E-03
1.319093E+03,2.000000E+18,7.539531E-03,1.615334E-03
1.336115E+03,2.000000E+18,7.333653E-03,1.642064E-03
1.351806E+03,2.000000E+18,5.618224E-03,1.200746E-03
1.367958E+03,2.000000E+18,4.701279E-03,1.054074E-03
1.384750E+03,2.000000E+18,3.330007E-03,7.304094E-04
1.401433E+03,2.000000E+18,4.390218E-03,9.856595E-04
1.416649E+03,2.000000E+18,4.249434E-03,9.082033E-04
1.437052E+03,2.000000E+18,4.905096E-03,1.053498E-03
1.454837E+03,2.000000E+18,6.897638E-03,1.542359E-03
1.473799E+03,2.000000E+18,6.278459E-03,1.318400E-03
1.494736E+03,2.000000E+18,6.362911E-03,1.310574E-03
1.511935E+03,2.000000E+18,7.795642E-03,1.674318E-03
1.529176E+03,2.000000E+18,5.216908E-03,1.177622E-03
1.547230E+03,2.000000E+18,5.072830E-03,1.134319E-03
1.567318E+03,2.000000E+18,4.459056E-03,9.530046E-04
1.588158E+03,2.000000E+18,3.394302E-03,7.127622E-04
1.607046E+03,2.000000E+18,2.581096E-03,5.310300E-04
1.627841E+03,2.000000E+18,3.443672E-03,7.721054E-04
1.650281E+03,2.000000E+18,6.186183E-03,1.360390E-03
1.672503E+03,2.000000E+18,7.574768E-03,1.624879E-03
1.691896E+03,2.000000E+18,1.771362E-02,3.781179E-03
1.705820E+03,2.000000E+18,8.307935E-03,1.867759E-03
1.722286E+03,2.000000E+18,8.569638E-03,1.882102E-03
1.740247E+03,2.000000E+18,6.336240E-03,1.293380E-03
1.762463E+03,2.000000E+18,3.463990E-03,7.299746E-04
1.783413E+03,2.000000E+18,3.339122E-03,7.314670E-04
1.806353E+03,2.000000E+18,3.189962E-03,7.190999E-04
1.826877E+03,2.000000E+18,9.745171E-03,2.134774E-03
1.845225E+03,2.000000E+18,8.870007E-03,1.991428E-03
1.859270E+03,2.000000E+18,9.544642E-03,2.137121E-03
1.875868E+03,2.000000E+18,1.022563E-02,2.051750E-03
1.897553E+03,2.000000E+18,3.315609E-03,7.253835E-04
1.919188E+03,2.000000E+18,2.493050E-03,5.597211E-04
