Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
1249.489,6.023,-6.514,1.07505787808259e-05,2.41038700985145e-06,-2.41038700985145e-06
1262.089,5.959,-6.577,9.68350125365299e-06,1.9810777646427e-06,-1.9810777646427e-06
1275.222,7.870,-7.173,5.48118403944665e-06,1.17289444823019e-06,-1.17289444823019e-06
1289.246,6.383,-6.154,7.09300664933347e-06,1.48594545677071e-06,-1.48594545677071e-06
1301.175,6.990,-5.547,9.27911915045158e-06,2.03529841869219e-06,-2.03529841869219e-06
1319.093,9.131,-10.928,7.53953146192034e-06,1.61533372598126e-06,-1.61533372598126e-06
1336.115,7.153,-7.891,7.33365274095194e-06,1.64206365177213e-06,-1.64206365177213e-06
1351.806,9.013,-8.539,5.61822390052498e-06,1.20074614749724e-06,-1.20074614749724e-06
1367.958,7.905,-7.139,4.70127925644396e-06,1.05407370504295e-06,-1.05407370504295e-06
1384.750,8.664,-8.887,3.33000709195105e-06,7.30409413265843e-07,-7.30409413265843e-07
1401.433,7.025,-8.019,4.39021833744495e-06,9.85659467419312e-07,-9.85659467419312e-07
1416.649,11.867,-8.191,4.24943429124707e-06,9.08203269032377e-07,-9.08203269032377e-07
1437.052,11.523,-8.536,4.90509578050671e-06,1.05349818442763e-06,-1.05349818442763e-06
1454.837,8.782,-6.262,6.8976379912987e-06,1.54235897038629e-06,-1.54235897038629e-06
1473.799,9.878,-10.181,6.27845899405019e-06,1.31840016293307e-06,-1.31840016293307e-06
1494.736,11.507,-11.059,6.36291072105346e-06,1.31057390693527e-06,-1.31057390693527e-06
1511.935,9.352,-5.692,7.79564166459412e-06,1.67431827210676e-06,-1.67431827210676e-06
1529.176,9.662,-7.889,5.2169081465892e-06,1.1776222627005e-06,-1.1776222627005e-06
1547.230,9.159,-8.392,5.07283039014103e-06,1.13431923138282e-06,-1.13431923138282e-06
1567.318,9.129,-10.929,4.45905617440212e-06,9.53004579467676e-07,-9.53004579467676e-07
1588.158,8.348,-11.71,3.39430213382969e-06,7.12762216549753e-07,-7.12762216549753e-07
1607.046,9.519,-10.539,2.58109593597011e-06,5.31030029960558e-07,-5.31030029960558e-07
1627.841,8.782,-11.277,3.44367150006505e-06,7.72105368164945e-07,-7.72105368164945e-07
1650.281,8.908,-13.658,6.18618319380261e-06,1.36039036357519e-06,-1.36039036357519e-06
1672.503,14.266,-13.314,7.57476797250405e-06,1.6248792045183e-06,-1.6248792045183e-06
1691.896,4.903,-5.126,1.77136165663222e-05,3.7811788818281e-06,-3.7811788818281e-06
1705.820,8.531,-9.021,8.30793490060358e-06,1.86775860829752e-06,-1.86775860829752e-06
1722.286,7.108,-7.936,8.56963792450501e-06,1.88210151036506e-06,-1.88210151036506e-06
1740.247,9.205,-10.853,6.3362402495309e-06,1.29337980015717e-06,-1.29337980015717e-06
1762.463,12.063,-13.011,3.46398963865092e-06,7.29974561217031e-07,-7.29974561217031e-07
1783.413,8.664,-8.887,3.339122065447e-06,7.3146701802648e-07,-7.3146701802648e-07
1806.353,13.305,-14.276,3.18996211275728e-06,7.1909994212705e-07,-7.1909994212705e-07
1826.877,7.825,-7.219,9.74517102501914e-06,2.13477423001638e-06,-2.13477423001638e-06
1845.225,7.027,-10.524,8.87000672129669e-06,1.99142796428847e-06,-1.99142796428847e-06
1859.270,8.026,-7.017,9.54464199593119e-06,2.13712115381915e-06,-2.13712115381915e-06
1875.868,6.473,-8.571,1.02256339095366e-05,2.05175034689281e-06,-2.05175034689281e-06
1897.553,9.861,-15.213,3.31560918205813e-06,7.25383481081358e-07,-7.25383481081358e-07
1919.188,10.792,-11.774,2.49304956381129e-06,5.59721122779294e-07,-5.59721122779294e-07
1936.017,6.499,-6.037,8.03660608443956e-06,1.71550751675086e-06,-1.71550751675086e-06
1961.207,11.397,-18.691,8.02378791567523e-06,1.57685717366464e-06,-1.57685717366464e-06
1980.744,11.918,-8.14,7.71860926545565e-06,1.73526860295226e-06,-1.73526860295226e-06
2004.165,11.063,-11.502,5.04489206503507e-06,1.0768914528878e-06,-1.0768914528878e-06
2027.695,10.099,-12.467,4.80866875063192e-06,1.05068359431278e-06,-1.05068359431278e-06
2046.692,6.146,-8.898,8.4518417441292e-06,1.89243422666159e-06,-1.89243422666159e-06
2066.943,10.968,-14.105,6.93976908283539e-06,1.45555338611685e-06,-1.45555338611685e-06
2089.412,11.065,-11.501,8.36922438717979e-06,1.80640853931329e-06,-1.80640853931329e-06
2115.131,12.927,-14.654,6.63023639584236e-06,1.49058473034331e-06,-1.49058473034331e-06
2138.075,12.548,-10.018,7.7334172830939e-06,1.65483990545923e-06,-1.65483990545923e-06
2164.399,11.298,-13.775,5.64731852590896e-06,1.24188986289912e-06,-1.24188986289912e-06
2184.468,8.779,-8.772,8.49398002267649e-06,1.90700632945383e-06,-1.90700632945383e-06
2208.097,12.731,-14.85,6.67455288893643e-06,1.46589477606328e-06,-1.46589477606328e-06
2233.602,12.300,-12.774,6.76056808456239e-06,1.51988569774696e-06,-1.51988569774696e-06
2258.178,10.289,-12.277,6.93969333606257e-06,1.55594801442891e-06,-1.55594801442891e-06
2286.132,9.916,-17.665,5.00939332801198e-06,1.12164299145257e-06,-1.12164299145257e-06
2305.194,8.405,-9.147,6.96673829669593e-06,1.56623611119731e-06,-1.56623611119731e-06
2324.037,9.620,-10.438,6.60586220623199e-06,1.35754483267193e-06,-1.35754483267193e-06
2341.551,9.657,-7.894,5.78307337524902e-06,1.30542358203399e-06,-1.30542358203399e-06
2365.988,12.801,-14.779,3.20995870562128e-06,7.24589884433423e-07,-7.24589884433423e-07
2393.224,10.639,-14.435,3.20498284030611e-06,6.70638019623709e-07,-6.70638019623709e-07
2425.081,21.398,-21.218,2.56949043394143e-06,4.14593063120464e-07,-4.14593063120464e-07
6633.996,14.751,-22.858,1.25234981136739e-06,2.74089116623303e-07,-2.74089116623303e-07
6662.304,14.024,-13.556,1.7356911432517e-06,3.72134313906645e-07,-3.72134313906645e-07
6696.377,17.560,-20.05,1.10405332107187e-06,2.47254634323234e-07,-2.47254634323234e-07
6729.727,14.298,-15.79,1.56225266499846e-06,3.51495189448738e-07,-3.51495189448738e-07
6770.218,21.446,-26.193,1.63035866562109e-06,3.57345715621849e-07,-3.57345715621849e-07
6816.973,22.330,-25.308,2.64535299781213e-06,5.97034505306745e-07,-5.97034505306745e-07
6862.608,19.319,-23.305,2.44471451988922e-06,5.50896230583645e-07,-5.50896230583645e-07
6902.753,19.291,-20.826,2.2478621749683e-06,4.94147243252991e-07,-4.94147243252991e-07
6942.694,14.452,-20.65,2.39549884233708e-06,5.00165953562406e-07,-5.00165953562406e-07
6973.332,11.395,-16.185,2.70309630264242e-06,5.643902547453e-07,-5.643902547453e-07
6996.878,10.415,-12.151,3.14175558010366e-06,6.56860394412748e-07,-6.56860394412748e-07
