Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
134.958,68.432,-63.176,2.98314037018902e-06,6.659860027986e-07,-6.659860027986e-07
276.342,61.525,-72.953,1.57992136272859e-06,3.73630599569791e-07,-3.73630599569791e-07
415.986,69.216,-78.119,1.37873243292837e-06,3.20597518269532e-07,-3.20597518269532e-07
576.967,59.248,-91.765,7.74783615669875e-07,1.80703469040364e-07,-1.80703469040364e-07
682.628,36.936,-46.413,1.17207709818439e-06,2.70264041764504e-07,-2.70264041764504e-07
751.762,32.992,-32.198,7.33989082574991e-07,1.43449421682083e-07,-1.43449421682083e-07
3995.091,25.415,-32.254,9.79811888545403e-08,2.1463970351589e-08,-2.1463970351589e-08
4060.917,49.852,-40.412,5.85233612194162e-08,1.31393928084482e-08,-1.31393928084482e-08
4142.315,31.137,-31.546,1.30580890052237e-07,2.9377085030073e-08,-2.9377085030073e-08
4201.628,26.984,-28.177,2.02245908546816e-07,4.56390724628138e-08,-4.56390724628138e-08
4275.249,46.134,-46.636,1.27658102762654e-07,2.87781221429755e-08,-2.87781221429755e-08
4351.823,24.721,-30.44,1.77093128929627e-07,3.97197720211979e-08,-3.97197720211979e-08
4414.238,30.004,-37.694,1.35297501680101e-07,3.04072442356281e-08,-3.04072442356281e-08
4490.445,31.523,-46.203,2.05021142195006e-07,4.61710697183547e-08,-4.61710697183547e-08
4549.784,22.330,-27.816,4.855777164616e-07,1.09241609175665e-07,-1.09241609175665e-07
4612.045,40.303,-39.931,3.48441855934307e-07,7.81511453695105e-08,-7.81511453695105e-08
4688.275,36.786,-35.926,4.26556754397665e-07,9.59634777359205e-08,-9.59634777359205e-08
4759.484,40.796,-34.424,3.82976372244469e-07,8.61590952425005e-08,-8.61590952425005e-08
4864.036,31.522,-63.756,2.24228018072835e-07,5.02405631201461e-08,-5.02405631201461e-08
4929.134,31.615,-33.576,3.10503718789167e-07,6.97128500240881e-08,-6.97128500240881e-08
5006.183,47.336,-45.434,2.40454545439472e-07,5.40406087822203e-08,-5.40406087822203e-08
5090.812,47.955,-37.293,2.65038017060988e-07,5.93844461212904e-08,-5.93844461212904e-08
5165.703,20.704,-26.935,3.87505673736545e-07,8.68245997317023e-08,-8.68245997317023e-08
5277.766,56.573,-91.359,9.42402966732192e-08,2.12881179588269e-08,-2.12881179588269e-08
5405.707,41.461,-71.368,1.84100618855742e-07,4.14597336740712e-08,-4.14597336740712e-08
5489.865,37.537,-42.698,3.35497286285159e-07,7.54008601226071e-08,-7.54008601226071e-08
5578.699,64.040,-51.297,3.02955874477514e-07,6.8216222850915e-08,-6.8216222850915e-08
5743.947,64.275,-101.208,1.41535869085324e-07,3.12693179328124e-08,-3.12693179328124e-08
5867.393,66.194,-59.172,1.08315072364875e-07,2.44175901183045e-08,-2.44175901183045e-08
5982.885,48.488,-49.297,2.40075307794811e-07,5.26423199958673e-08,-5.26423199958673e-08
6108.500,83.341,-77.127,1.96034473741801e-07,4.42825984734935e-08,-4.42825984734935e-08
6215.889,38.636,-24.047,3.69567758695323e-07,8.29736387779754e-08,-8.29736387779754e-08
6299.640,52.669,-45.116,1.9536846790347e-07,4.28392655942207e-08,-4.28392655942207e-08
6443.332,109.558,-91.022,1.37157270995862e-07,2.26600335039364e-08,-2.26600335039364e-08
9850.325,51.078,-64.258,7.4682942344028e-08,1.67377809055699e-08,-1.67377809055699e-08
9990.117,111.871,-88.714,4.15194202547009e-08,9.42366756309794e-09,-9.42366756309794e-09
10203.865,88.676,-101.877,4.21852420299556e-08,9.32708490606108e-09,-9.32708490606108e-09
11757.498,113.644,-127.058,1.32636387721969e-08,3.46188296534476e-09,-3.46188296534476e-09
11949.782,106.902,-78.639,1.60463885213133e-08,4.18120438379896e-09,-4.18120438379896e-09
12190.779,129.168,-134.095,2.58393783725057e-08,4.59273286532631e-09,-4.59273286532631e-09
15698.034,114.476,-193.923,5.49018730124022e-08,1.45670834342952e-08,-1.45670834342952e-08
16461.006,1628.833,-648.496,6.86583942645503e-08,1.17673247472218e-08,-1.17673247472218e-08
21507.461,205.847,-182.787,3.91750363565611e-08,1.01936219888278e-08,-1.01936219888278e-08
21967.135,267.690,-253.826,3.95492110298471e-08,8.74396825816492e-09,-8.74396825816492e-09
34798.981,4321.953,-7715.273,5.69129702808079e-09,1.51893639409992e-09,-1.51893639409992e-09
39801.126,673.747,-680.192,6.22339089347969e-09,1.50853573362008e-09,-1.50853573362008e-09
48063.517,3630.584,-3203.462,5.10201417473592e-09,1.15694285511541e-09,-1.15694285511541e-09
109812.243,177982.605,-29985.612,4.82629792179155e-10,1.79708539738461e-10,-1.79708539738461e-10
