Times,Freqs,Fluxes,FluxErrs
1.004129E+04,2.000000E+18,2.773253E-04,6.071248E-05
1.016920E+04,2.000000E+18,1.981736E-04,4.481710E-05
1.030925E+04,2.000000E+18,2.049719E-04,4.619689E-05
1.046570E+04,2.000000E+18,1.422732E-04,3.121376E-05
1.059523E+04,2.000000E+18,1.746453E-04,3.954113E-05
1.073152E+04,2.000000E+18,1.135059E-04,2.495618E-05
1.085559E+04,2.000000E+18,8.553934E-05,1.927899E-05
1.101855E+04,2.000000E+18,7.479391E-05,1.648027E-05
1.116895E+04,2.000000E+18,8.368231E-05,1.843876E-05
1.130206E+04,2.000000E+18,1.551666E-04,3.501140E-05
1.140848E+04,2.000000E+18,1.408653E-04,3.167662E-05
1.154813E+04,2.000000E+18,1.926736E-04,4.337591E-05
1.167713E+04,2.000000E+18,2.255559E-04,5.118430E-05
1.181539E+04,2.000000E+18,2.082285E-04,4.682468E-05
1.199852E+04,2.000000E+18,1.643470E-04,3.716719E-05
1.218143E+04,2.000000E+18,1.975574E-04,3.582029E-05
1.564091E+04,2.000000E+18,4.735772E-05,1.062025E-05
1.584996E+04,2.000000E+18,2.664378E-05,6.953194E-06
1.606322E+04,2.000000E+18,5.779623E-05,1.301784E-05
1.629432E+04,2.000000E+18,5.097221E-05,1.327626E-05
1.647700E+04,2.000000E+18,8.476860E-05,2.214355E-05
1.664444E+04,2.000000E+18,1.086370E-04,2.738219E-05
1.685216E+04,2.000000E+18,1.174118E-04,2.640697E-05
1.704900E+04,2.000000E+18,7.633405E-05,2.009718E-05
1.727148E+04,2.000000E+18,7.530961E-05,1.749038E-05
1.749775E+04,2.000000E+18,6.741331E-05,1.654736E-05
1.772578E+04,2.000000E+18,4.474974E-05,1.172402E-05
1.797985E+04,2.000000E+18,7.049903E-05,1.238639E-05
2.723955E+04,2.000000E+18,1.617892E-05,4.214613E-06
2.766858E+04,2.000000E+18,1.269148E-05,3.332117E-06
2.840293E+04,2.000000E+18,1.684048E-05,4.409054E-06
2.872896E+04,2.000000E+18,1.987751E-05,5.026621E-06
2.929555E+04,2.000000E+18,1.352084E-05,2.533184E-06
3.447872E+04,2.000000E+18,1.370673E-05,3.282349E-06
3.886322E+04,2.000000E+18,2.615565E-05,6.790702E-06
3.956352E+04,2.000000E+18,1.658337E-05,3.132922E-06
9.736088E+04,2.000000E+18,2.483653E-05,6.355758E-06
1.062380E+05,2.000000E+18,4.677154E-06,9.593578E-07
1.145858E+05,2.000000E+18,4.123775E-06,1.333367E-06
