Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
6375.163,10.282,-9.777,2.77720333813923e-07,6.25362926039211e-08,-6.25362926039211e-08
6391.370,6.611,-5.925,7.52464602763744e-07,1.60833880635066e-07,-1.60833880635066e-07
6408.188,7.345,-10.207,8.54997080337246e-07,1.87572349924459e-07,-1.87572349924459e-07
6427.440,10.658,-11.908,1.11018574975482e-06,2.50340112844089e-07,-2.50340112844089e-07
6448.878,11.787,-10.779,2.01859786911664e-06,4.52634935286494e-07,-4.52634935286494e-07
6470.064,10.658,-9.4,1.64631918892218e-06,3.70193633919359e-07,-3.70193633919359e-07
6492.002,11.286,-11.279,1.10769233393855e-06,2.42039854884982e-07,-2.42039854884982e-07
6517.532,8.323,-14.243,1.0370982782824e-06,2.21672287536231e-07,-2.21672287536231e-07
6537.492,10.928,-11.637,1.03189762734021e-06,2.26079500681097e-07,-2.26079500681097e-07
6561.454,12.039,-13.034,9.36230893387982e-07,2.09933219209627e-07,-2.09933219209627e-07
6581.242,7.295,-7.748,1.64550853812159e-06,3.5171560731558e-07,-3.5171560731558e-07
6600.944,12.666,-12.407,8.60893738577403e-07,1.94399679195191e-07,-1.94399679195191e-07
6621.547,12.121,-7.937,1.09216308147677e-06,2.38964449459136e-07,-2.38964449459136e-07
6652.705,13.559,-19.036,6.44887459201004e-07,1.41856577341672e-07,-1.41856577341672e-07
6676.140,10.181,-9.877,1.25508129867458e-06,2.51859443118958e-07,-2.51859443118958e-07
8069.006,12.600,-12.473,1.18435635900906e-06,2.59472918014902e-07,-2.59472918014902e-07
8100.294,18.921,-18.688,8.82117561746603e-07,1.80895288291903e-07,-1.80895288291903e-07
8133.479,10.809,-14.264,9.25020652835844e-07,2.0292503898859e-07,-2.0292503898859e-07
8162.358,12.019,-18.069,7.38447757891919e-07,1.51257909306538e-07,-1.51257909306538e-07
8189.906,14.558,-15.53,5.89120405753639e-07,1.23284857699215e-07,-1.23284857699215e-07
8221.781,15.278,-17.317,4.16381363705832e-07,8.89965559477466e-08,-8.89965559477466e-08
8253.854,10.785,-16.795,3.59017732865721e-07,8.10634236591179e-08,-8.10634236591179e-08
8279.178,13.042,-14.538,3.28307184906931e-07,7.39228292838465e-08,-7.39228292838465e-08
8305.410,9.375,-13.19,4.54439881652695e-07,9.94288211030954e-08,-9.94288211030954e-08
8335.977,16.418,-21.191,3.11623518112597e-07,6.69432719682987e-08,-6.69432719682987e-08
8372.698,17.307,-20.303,3.11378304932197e-07,6.99163399033786e-08,-6.99163399033786e-08
8405.794,19.313,-15.789,5.32495900252293e-07,1.20908589605179e-07,-1.20908589605179e-07
8446.295,16.422,-21.188,1.12426505336704e-06,2.46960936783496e-07,-2.46960936783496e-07
8491.921,15.928,-29.204,2.13864669456512e-06,4.86284163636816e-07,-4.86284163636816e-07
8525.216,12.720,-17.367,2.78381044384873e-06,6.08278308352718e-07,-6.08278308352718e-07
8549.814,10.688,-11.877,3.13312792271902e-06,6.90065829221145e-07,-6.90065829221145e-07
8583.432,24.710,-22.929,1.14698015419655e-06,2.60433466110251e-07,-2.60433466110251e-07
8623.296,12.425,-15.155,1.73907102361079e-06,3.73116505120982e-07,-3.73116505120982e-07
8651.513,16.804,-15.791,1.12937267093759e-06,2.55360163419966e-07,-2.55360163419966e-07
8709.676,48.169,-41.36,8.00428830288404e-07,1.50938670851335e-07,-1.50938670851335e-07
12125.064,27.534,-22.612,4.35433203147485e-07,9.5919222312956e-08,-9.5919222312956e-08
12168.142,14.545,-15.543,8.06867322204705e-07,1.80717787346288e-07,-1.80717787346288e-07
12203.486,24.332,-20.8,7.47962169021207e-07,1.6863379565831e-07,-1.6863379565831e-07
12253.301,19.648,-25.483,1.16450181898635e-06,2.55312800818073e-07,-2.55312800818073e-07
12292.249,20.817,-19.3,1.33663976097847e-06,2.99373309010661e-07,-2.99373309010661e-07
12333.621,17.055,-20.555,1.51687901684477e-06,3.4312776559519e-07,-3.4312776559519e-07
12379.975,25.861,-29.299,7.22738056459566e-07,1.58957123388377e-07,-1.58957123388377e-07
12450.826,35.244,-44.989,2.42252769465923e-07,5.47082852575943e-08,-5.47082852575943e-08
12513.766,27.465,-27.696,2.92452358350557e-07,6.55018920610391e-08,-6.55018920610391e-08
12572.324,26.576,-31.092,3.62027865449685e-07,7.96234663074045e-08,-7.96234663074045e-08
12622.714,16.302,-23.815,6.01435085344198e-07,1.35822930618461e-07,-1.35822930618461e-07
12662.705,18.936,-23.688,6.54848468058802e-07,1.47885358555271e-07,-1.47885358555271e-07
12720.705,41.168,-39.064,6.05837845556062e-07,1.04607577223916e-07,-1.04607577223916e-07
14084.774,22.193,-17.924,9.9114928621543e-07,2.22318627090363e-07,-2.22318627090363e-07
14136.271,18.336,-29.303,1.14087716812753e-06,2.48959860017679e-07,-2.48959860017679e-07
14183.786,28.489,-29.179,1.45031378759105e-06,3.18369026640561e-07,-3.18369026640561e-07
14228.688,16.182,-16.413,3.86865529415102e-06,8.47974834472113e-07,-8.47974834472113e-07
