Times,Freqs,Fluxes,FluxErrs
7.309900E+01,2.000000E+18,1.609275E-02,2.498835E-03
7.460900E+01,2.000000E+18,1.860682E-02,2.773744E-03
7.614700E+01,2.000000E+18,1.882561E-02,2.806360E-03
7.773300E+01,2.000000E+18,2.050425E-02,3.119283E-03
7.932800E+01,2.000000E+18,2.651624E-02,4.033879E-03
8.107300E+01,2.000000E+18,3.845870E-02,5.733091E-03
8.266700E+01,2.000000E+18,4.165757E-02,6.209950E-03
8.405700E+01,2.000000E+18,3.607931E-02,5.378391E-03
8.532000E+01,2.000000E+18,3.692277E-02,5.504128E-03
8.669900E+01,2.000000E+18,2.997420E-02,4.468294E-03
8.844600E+01,2.000000E+18,2.242809E-02,3.411954E-03
9.017400E+01,2.000000E+18,3.070623E-02,4.577420E-03
9.188400E+01,2.000000E+18,2.525479E-02,3.764766E-03
9.361000E+01,2.000000E+18,2.645131E-02,4.107278E-03
9.507000E+01,2.000000E+18,1.410707E-02,2.102960E-03
9.641500E+01,2.000000E+18,2.356182E-02,3.584426E-03
9.784400E+01,2.000000E+18,2.712311E-02,4.043279E-03
9.948000E+01,2.000000E+18,3.719852E-02,5.545233E-03
1.011740E+02,2.000000E+18,3.653472E-02,5.557974E-03
1.029390E+02,2.000000E+18,2.647301E-02,3.946367E-03
1.049310E+02,2.000000E+18,2.689837E-02,4.009776E-03
1.065660E+02,2.000000E+18,2.433197E-02,3.627199E-03
1.082860E+02,2.000000E+18,2.965043E-02,4.420029E-03
1.097100E+02,2.000000E+18,3.504102E-02,5.330739E-03
1.110620E+02,2.000000E+18,3.484670E-02,5.301178E-03
1.124340E+02,2.000000E+18,4.037229E-02,6.141777E-03
1.141020E+02,2.000000E+18,3.049085E-02,4.545312E-03
1.158620E+02,2.000000E+18,1.946013E-02,2.960441E-03
1.176270E+02,2.000000E+18,1.870809E-02,2.846034E-03
1.192960E+02,2.000000E+18,1.747397E-02,2.604868E-03
1.212230E+02,2.000000E+18,1.425214E-02,2.213029E-03
1.233730E+02,2.000000E+18,1.578619E-02,2.353269E-03
1.254670E+02,2.000000E+18,2.049661E-02,3.182651E-03
1.272790E+02,2.000000E+18,2.013931E-02,3.063764E-03
1.294100E+02,2.000000E+18,1.912165E-02,2.908949E-03
1.313840E+02,2.000000E+18,1.778340E-02,2.650995E-03
1.331240E+02,2.000000E+18,1.744005E-02,2.599812E-03
1.350080E+02,2.000000E+18,1.557380E-02,2.321606E-03
1.369030E+02,2.000000E+18,1.289380E-02,1.922096E-03
1.388060E+02,2.000000E+18,1.227453E-02,1.829781E-03
1.405770E+02,2.000000E+18,1.418508E-02,2.157955E-03
1.424670E+02,2.000000E+18,1.200950E-02,1.864799E-03
1.446480E+02,2.000000E+18,1.657724E-02,2.471191E-03
1.470080E+02,2.000000E+18,1.648852E-02,2.508374E-03
1.492040E+02,2.000000E+18,1.349916E-02,2.096108E-03
1.520260E+02,2.000000E+18,9.299439E-03,1.386280E-03
1.549610E+02,2.000000E+18,7.761225E-03,1.180704E-03
1.576370E+02,2.000000E+18,9.543967E-03,1.451910E-03
1.600100E+02,2.000000E+18,9.146321E-03,1.363454E-03
1.629620E+02,2.000000E+18,1.102529E-02,1.677261E-03
1.656350E+02,2.000000E+18,1.312453E-02,1.956492E-03
1.687920E+02,2.000000E+18,1.261100E-02,1.879939E-03
1.716290E+02,2.000000E+18,1.324983E-02,2.100375E-03
1.743030E+02,2.000000E+18,8.619829E-03,1.284969E-03
1.778120E+02,2.000000E+18,6.116989E-03,9.305684E-04
1.810180E+02,2.000000E+18,1.032108E-02,1.570130E-03
1.834340E+02,2.000000E+18,8.574095E-03,1.304364E-03
1.862240E+02,2.000000E+18,1.239615E-02,1.847911E-03
1.895700E+02,2.000000E+18,1.229385E-02,1.832660E-03
1.937520E+02,2.000000E+18,8.224146E-03,1.277020E-03
1.973660E+02,2.000000E+18,7.054651E-03,1.051647E-03
2.006470E+02,2.000000E+18,4.569486E-03,8.342707E-04
2.044130E+02,2.000000E+18,5.677377E-03,8.636908E-04
2.079500E+02,2.000000E+18,4.449208E-03,6.632498E-04
2.115760E+02,2.000000E+18,4.454567E-03,6.835198E-04
2.155130E+02,2.000000E+18,3.321129E-03,4.950853E-04
2.197690E+02,2.000000E+18,3.400457E-03,5.173067E-04
2.236530E+02,2.000000E+18,3.437832E-03,5.229925E-04
2.273430E+02,2.000000E+18,2.367651E-03,4.456684E-04
2.310690E+02,2.000000E+18,2.397644E-03,4.513141E-04
2.348280E+02,2.000000E+18,2.551544E-03,4.658464E-04
2.383770E+02,2.000000E+18,3.021317E-03,5.181520E-04
2.422070E+02,2.000000E+18,2.490139E-03,4.687247E-04
2.463920E+02,2.000000E+18,2.492402E-03,4.691505E-04
2.510940E+02,2.000000E+18,2.636069E-03,4.812785E-04
2.550610E+02,2.000000E+18,2.974166E-03,5.430063E-04
2.592480E+02,2.000000E+18,3.148796E-03,6.308267E-04
2.631890E+02,2.000000E+18,2.502859E-03,4.569577E-04
