Times,Freqs,Fluxes,FluxErrs
1.107977E+04,2.000000E+18,1.851670E-04,4.165974E-05
1.121517E+04,2.000000E+18,1.512640E-04,3.420067E-05
1.132273E+04,2.000000E+18,8.272039E-05,1.826412E-05
1.140862E+04,2.000000E+18,6.488088E-05,1.454344E-05
1.146905E+04,2.000000E+18,5.742668E-05,1.290422E-05
1.156832E+04,2.000000E+18,4.947676E-05,1.118666E-05
1.167136E+04,2.000000E+18,5.123542E-05,1.152719E-05
1.175762E+04,2.000000E+18,8.385663E-05,1.884324E-05
1.186177E+04,2.000000E+18,7.618994E-05,1.741675E-05
1.204828E+04,2.000000E+18,8.223362E-05,1.865681E-05
1.222795E+04,2.000000E+18,8.652729E-05,1.958562E-05
1.236217E+04,2.000000E+18,1.775706E-04,3.906812E-05
1.246066E+04,2.000000E+18,2.950337E-04,6.654208E-05
1.258088E+04,2.000000E+18,2.677942E-04,6.062315E-05
1.266992E+04,2.000000E+18,3.682273E-04,8.274356E-05
1.277307E+04,2.000000E+18,2.199617E-04,4.954912E-05
1.291071E+04,2.000000E+18,1.536773E-04,3.409186E-05
1.314949E+04,2.000000E+18,1.700045E-04,3.037840E-05
1.667966E+04,2.000000E+18,1.257703E-04,2.760639E-05
1.680175E+04,2.000000E+18,8.650625E-05,1.960761E-05
1.691682E+04,2.000000E+18,9.245146E-05,2.090324E-05
1.706171E+04,2.000000E+18,1.842510E-04,4.044282E-05
1.718248E+04,2.000000E+18,1.335862E-04,3.039200E-05
1.731213E+04,2.000000E+18,2.875607E-04,6.485674E-05
1.742128E+04,2.000000E+18,1.537625E-04,3.472266E-05
1.759563E+04,2.000000E+18,1.074788E-04,2.384323E-05
1.771980E+04,2.000000E+18,1.783905E-04,3.998732E-05
1.782047E+04,2.000000E+18,2.281058E-04,5.138372E-05
1.792625E+04,2.000000E+18,2.720781E-04,6.000237E-05
1.803496E+04,2.000000E+18,2.024063E-04,4.587763E-05
1.815218E+04,2.000000E+18,2.519110E-04,5.709843E-05
1.828540E+04,2.000000E+18,1.595573E-04,3.612058E-05
1.843374E+04,2.000000E+18,1.848181E-04,4.210014E-05
1.855784E+04,2.000000E+18,2.121886E-04,4.839532E-05
1.868087E+04,2.000000E+18,2.712750E-04,6.141126E-05
1.893193E+04,2.000000E+18,2.677433E-04,5.532891E-05
2.247035E+04,2.000000E+18,1.925034E-04,4.347113E-05
2.259970E+04,2.000000E+18,1.311353E-04,2.976024E-05
2.274162E+04,2.000000E+18,1.223113E-04,2.779224E-05
2.291662E+04,2.000000E+18,1.318986E-04,2.978534E-05
2.306944E+04,2.000000E+18,1.167251E-04,2.635888E-05
2.324071E+04,2.000000E+18,6.153022E-05,1.447050E-05
2.343698E+04,2.000000E+18,1.287661E-04,2.839727E-05
2.356492E+04,2.000000E+18,1.133637E-04,2.569517E-05
2.371791E+04,2.000000E+18,1.028611E-04,2.257785E-05
2.383082E+04,2.000000E+18,9.006493E-05,2.028827E-05
2.395635E+04,2.000000E+18,7.937988E-05,1.758888E-05
2.407040E+04,2.000000E+18,8.325587E-05,1.889434E-05
2.421240E+04,2.000000E+18,7.482404E-05,1.710838E-05
2.436737E+04,2.000000E+18,1.062276E-04,2.404783E-05
2.465905E+04,2.000000E+18,1.074859E-04,2.645037E-05
