Times,Freqs,Fluxes,FluxErrs
1.440430E+02,2.000000E+18,2.696001E-03,5.888524E-04
1.590050E+02,2.000000E+18,2.809044E-03,6.287231E-04
1.793300E+02,2.000000E+18,2.560656E-03,5.592907E-04
2.048330E+02,2.000000E+18,2.853402E-03,6.398774E-04
2.625480E+02,2.000000E+18,8.625766E-04,1.847055E-04
3.115170E+02,2.000000E+18,8.752697E-04,1.959038E-04
3.665800E+02,2.000000E+18,8.422093E-04,1.892293E-04
4.314470E+02,2.000000E+18,1.236473E-03,2.710559E-04
4.948440E+02,2.000000E+18,7.609171E-04,1.703093E-04
5.684730E+02,2.000000E+18,4.057539E-04,9.099061E-05
6.695470E+02,2.000000E+18,3.107908E-04,7.030235E-05
7.586960E+02,2.000000E+18,4.359976E-04,9.796080E-05
8.388970E+02,2.000000E+18,3.519293E-04,7.960808E-05
9.331240E+02,2.000000E+18,3.290064E-04,7.392183E-05
1.040693E+03,2.000000E+18,2.405834E-04,5.410681E-05
1.136288E+03,2.000000E+18,3.625025E-04,8.160480E-05
1.243214E+03,2.000000E+18,3.402347E-04,7.659194E-05
1.344704E+03,2.000000E+18,3.764541E-04,8.252516E-05
1.489420E+03,2.000000E+18,3.712917E-04,6.317437E-05
4.992966E+03,2.000000E+18,1.463283E-04,2.332067E-05
1.243205E+04,2.000000E+18,1.214977E-04,2.683130E-05
1.258923E+04,2.000000E+18,1.512342E-04,3.402895E-05
1.272008E+04,2.000000E+18,1.657833E-04,3.481967E-05
1.629602E+04,2.000000E+18,9.432472E-05,2.120417E-05
1.650807E+04,2.000000E+18,4.655549E-05,1.209546E-05
1.668711E+04,2.000000E+18,7.828183E-05,1.752761E-05
1.690547E+04,2.000000E+18,7.847995E-05,1.767763E-05
1.706501E+04,2.000000E+18,1.378988E-04,3.099960E-05
1.727363E+04,2.000000E+18,6.927226E-05,1.604903E-05
1.755179E+04,2.000000E+18,6.568754E-05,1.718847E-05
1.778328E+04,2.000000E+18,8.875109E-05,1.788308E-05
2.245272E+04,2.000000E+18,1.423841E-04,3.199036E-05
2.265906E+04,2.000000E+18,1.013435E-04,2.280066E-05
2.285557E+04,2.000000E+18,8.309480E-05,1.825099E-05
2.309103E+04,2.000000E+18,5.877071E-05,1.522978E-05
2.328633E+04,2.000000E+18,6.982768E-05,1.700373E-05
2.350303E+04,2.000000E+18,6.249679E-05,1.625453E-05
2.370562E+04,2.000000E+18,1.022368E-04,2.304896E-05
2.398646E+04,2.000000E+18,1.234893E-04,2.123772E-05
2.810028E+04,2.000000E+18,5.637174E-05,1.418502E-05
2.840028E+04,2.000000E+18,3.498909E-05,9.169052E-06
2.859496E+04,2.000000E+18,8.211167E-05,1.805216E-05
2.879928E+04,2.000000E+18,6.897461E-05,1.794899E-05
2.910794E+04,2.000000E+18,5.410940E-05,1.421708E-05
2.934104E+04,2.000000E+18,9.827572E-05,2.564100E-05
2.958339E+04,2.000000E+18,9.245053E-05,2.135553E-05
3.362770E+04,2.000000E+18,1.196868E-04,3.112882E-05
3.390404E+04,2.000000E+18,1.254843E-04,3.274296E-05
3.421027E+04,2.000000E+18,1.265570E-04,3.304979E-05
3.457909E+04,2.000000E+18,1.091246E-04,2.258210E-05
