Times,Freqs,Fluxes,FluxErrs
3.133041e+04,1.080000e+18,2.635460e-04,2.652300e-05
3.635072e+04,1.080000e+18,2.231300e-04,2.231300e-05
4.179291e+04,1.080000e+18,1.839770e-04,1.852400e-05
4.765697e+04,1.080000e+18,1.254580e-04,1.684000e-05
5.398510e+04,1.080000e+18,1.330360e-04,1.810300e-05
6.081947e+04,1.080000e+18,1.010400e-04,1.347200e-05
6.816010e+04,1.080000e+18,1.140910e-04,1.641900e-05
7.609135e+04,1.080000e+18,6.820200e-05,9.262000e-06
8.469760e+04,1.080000e+18,6.651800e-05,8.840999e-06
9.397884e+04,1.080000e+18,5.599300e-05,6.736000e-06
1.040195e+05,1.080000e+18,4.336300e-05,5.894000e-06
1.148617e+05,1.080000e+18,3.325900e-05,5.473000e-06
1.265476e+05,1.080000e+18,3.704800e-05,5.894000e-06
1.391617e+05,1.080000e+18,3.873200e-05,5.894000e-06
1.527882e+05,1.080000e+18,3.199600e-05,5.473000e-06
