Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
3979.070,28.125,-42.08,3.78233060217356e-07,8.45754483888625e-08,-8.45754483888625e-08
4047.370,40.058,-40.175,2.11652621721351e-07,4.74966355319841e-08,-4.74966355319841e-08
4151.883,68.433,-64.454,2.11372635961695e-07,4.01495549481099e-08,-4.01495549481099e-08
9900.923,107.381,-143.35,8.16314923530988e-08,1.82630291838064e-08,-1.82630291838064e-08
10270.920,209.485,-262.617,7.08576834145697e-08,1.14102711861344e-08,-1.14102711861344e-08
18365.028,4307.478,-2123.485,1.45136597875615e-08,3.25353819396601e-09,-3.25353819396601e-09
26066.049,140.276,-140.543,2.16043476630693e-08,5.64134532031048e-09,-5.64134532031048e-09
26398.253,118.979,-191.928,2.00329379410814e-08,5.23383825118941e-09,-5.23383825118941e-09
26647.773,145.264,-130.54,2.31990573377388e-08,6.01561763808946e-09,-6.01561763808946e-09
26976.009,215.690,-182.972,1.63792572154929e-08,4.28852021238802e-09,-4.28852021238802e-09
27455.869,262.367,-264.169,1.29517071594505e-08,3.38926693284895e-09,-3.38926693284895e-09
28092.442,350.393,-374.206,1.80507215534299e-08,3.45266098215788e-09,-3.45266098215788e-09
31835.014,154.650,-131.184,2.85203102760228e-08,7.39732758879665e-09,-7.39732758879665e-09
32237.455,238.628,-247.791,1.72344419664683e-08,4.50188760719466e-09,-4.50188760719466e-09
32776.326,351.659,-300.243,1.29235443680423e-08,3.38268731191873e-09,-3.38268731191873e-09
33692.191,516.432,-564.206,1.53163250054969e-08,2.92678000960919e-09,-2.92678000960919e-09
38915.743,1058.285,-1446.153,2.49373035645228e-08,4.87707048813956e-09,-4.87707048813956e-09
45907.753,3892.794,-2672.81,1.10250765160621e-08,2.80222291202251e-09,-2.80222291202251e-09
59006.113,2915.145,-4210.959,5.35596428346818e-09,1.04088500222166e-09,-1.04088500222166e-09
74021.412,9566.319,-7756.851,2.41699054219565e-09,4.00552852298442e-10,-4.00552852298442e-10
147410.692,19407.046,-27555.118,8.03782201409507e-10,1.86595189584854e-10,-1.86595189584854e-10
201012.404,21707.057,-13130.244,8.39420555818066e-10,2.25851459612539e-10,-2.25851459612539e-10
