Times,Freqs,Fluxes,FluxErrs
5.219441E+04,2.000000E+18,2.202910E-04,4.925859E-05
5.228092E+04,2.000000E+18,2.798627E-04,6.107107E-05
5.238572E+04,2.000000E+18,3.227940E-04,7.217895E-05
5.245555E+04,2.000000E+18,4.675175E-04,1.045401E-04
5.252187E+04,2.000000E+18,5.190355E-04,1.160599E-04
5.261392E+04,2.000000E+18,2.535342E-04,5.532571E-05
5.588880E+04,2.000000E+18,5.767300E-04,1.289608E-04
5.598545E+04,2.000000E+18,3.213065E-04,7.184633E-05
5.609252E+04,2.000000E+18,2.023502E-04,4.524689E-05
5.619851E+04,2.000000E+18,1.115626E-04,2.440400E-05
5.628947E+04,2.000000E+18,1.086272E-04,2.435164E-05
5.640518E+04,2.000000E+18,1.181353E-04,2.644945E-05
5.650259E+04,2.000000E+18,1.579930E-04,3.532833E-05
5.661893E+04,2.000000E+18,1.355501E-04,3.034846E-05
5.672261E+04,2.000000E+18,2.236124E-04,5.006485E-05
5.682116E+04,2.000000E+18,1.434181E-04,3.137227E-05
5.697036E+04,2.000000E+18,2.117624E-04,4.514789E-05
5.708229E+04,2.000000E+18,3.511341E-04,7.851600E-05
5.719950E+04,2.000000E+18,3.376397E-04,7.549854E-05
5.729253E+04,2.000000E+18,2.554577E-04,5.712208E-05
5.736737E+04,2.000000E+18,3.042258E-04,6.802693E-05
5.744234E+04,2.000000E+18,1.964784E-04,4.399098E-05
5.757508E+04,2.000000E+18,2.854430E-04,6.390225E-05
5.770247E+04,2.000000E+18,1.851465E-04,4.145380E-05
5.789951E+04,2.000000E+18,4.624181E-04,1.035218E-04
5.811553E+04,2.000000E+18,3.988303E-04,8.928634E-05
5.825321E+04,2.000000E+18,1.571319E-04,3.433139E-05
5.837412E+04,2.000000E+18,1.586278E-04,2.851426E-05
6.170755E+04,2.000000E+18,5.549086E-04,1.242746E-04
6.192281E+04,2.000000E+18,6.879101E-04,1.540610E-04
6.203941E+04,2.000000E+18,3.280898E-04,7.342901E-05
6.214673E+04,2.000000E+18,6.405546E-04,1.432323E-04
6.221129E+04,2.000000E+18,5.038181E-04,1.127583E-04
6.229617E+04,2.000000E+18,3.980842E-04,8.909426E-05
6.240231E+04,2.000000E+18,4.659588E-04,7.562422E-05
1.366172E+05,2.000000E+18,2.721604E-04,6.169683E-05
1.367600E+05,2.000000E+18,2.547507E-04,5.746694E-05
1.368631E+05,2.000000E+18,2.342300E-04,5.252866E-05
1.369983E+05,2.000000E+18,8.147863E-05,2.156899E-05
1.371975E+05,2.000000E+18,7.397074E-05,1.671920E-05
1.374069E+05,2.000000E+18,7.555005E-05,1.709297E-05
1.375892E+05,2.000000E+18,7.992574E-05,1.802974E-05
1.377250E+05,2.000000E+18,1.587062E-04,3.562638E-05
1.378379E+05,2.000000E+18,1.060262E-04,2.380078E-05
1.380353E+05,2.000000E+18,4.386171E-05,1.142877E-05
1.382011E+05,2.000000E+18,6.456983E-05,1.458004E-05
1.384010E+05,2.000000E+18,7.219795E-05,1.630249E-05
1.385695E+05,2.000000E+18,5.007831E-05,1.136361E-05
1.387812E+05,2.000000E+18,3.849869E-05,8.701651E-06
1.390180E+05,2.000000E+18,4.209073E-05,9.349460E-06
1.424142E+05,2.000000E+18,7.829003E-05,1.784735E-05
1.425303E+05,2.000000E+18,1.023852E-04,2.258906E-05
1.427153E+05,2.000000E+18,7.207037E-05,1.630242E-05
1.428692E+05,2.000000E+18,5.651922E-05,1.485830E-05
1.430573E+05,2.000000E+18,6.217289E-05,1.410450E-05
1.432478E+05,2.000000E+18,4.184821E-05,9.512108E-06
1.434070E+05,2.000000E+18,4.243310E-05,9.617026E-06
1.436233E+05,2.000000E+18,4.047532E-05,7.744293E-06
2.288963E+05,2.000000E+18,3.185289E-05,8.303827E-06
2.291536E+05,2.000000E+18,2.093863E-05,5.318134E-06
2.293645E+05,2.000000E+18,3.990529E-05,9.031099E-06
2.297161E+05,2.000000E+18,1.963242E-05,5.142875E-06
2.300009E+05,2.000000E+18,3.500745E-05,8.791288E-06
2.302362E+05,2.000000E+18,2.561902E-05,6.705689E-06
2.305391E+05,2.000000E+18,3.403167E-05,8.886127E-06
2.308274E+05,2.000000E+18,2.375576E-05,6.268647E-06
2.311796E+05,2.000000E+18,3.246671E-05,7.149965E-06
2.470279E+05,2.000000E+18,3.617190E-05,9.527904E-06
2.473415E+05,2.000000E+18,4.741996E-05,1.239076E-05
2.475750E+05,2.000000E+18,3.639879E-05,9.646017E-06
2.478702E+05,2.000000E+18,5.216843E-05,1.361791E-05
2.481180E+05,2.000000E+18,4.739612E-05,1.237216E-05
2.483545E+05,2.000000E+18,3.308407E-05,8.723344E-06
2.638956E+05,2.000000E+18,3.036270E-05,7.917229E-06
2.644253E+05,2.000000E+18,2.310825E-05,4.879146E-06
2.698875E+05,2.000000E+18,2.220602E-05,5.805023E-06
2.702624E+05,2.000000E+18,3.033886E-05,6.917493E-06
2.754869E+05,2.000000E+18,2.035173E-05,5.321518E-06
2.759269E+05,2.000000E+18,2.188920E-05,5.238959E-06
3.331270E+05,2.000000E+18,1.827374E-05,4.841087E-06
3.336689E+05,2.000000E+18,4.164525E-05,9.670304E-06
3.619958E+05,2.000000E+18,2.620507E-05,6.076977E-06
3.702303E+05,2.000000E+18,2.157541E-05,3.726207E-06
3.972904E+05,2.000000E+18,1.303932E-05,3.705362E-06
4.166383E+05,2.000000E+18,2.501164E-05,6.616431E-06
4.200189E+05,2.000000E+18,2.096529E-05,5.594811E-06
4.256135E+05,2.000000E+18,1.486185E-05,3.236547E-06
