Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
209.961,13.807,-13.774,4.10129305757313e-07,9.18837465988214e-08,-9.18837465988214e-08
239.875,21.503,-16.106,4.05404736125418e-07,9.06512802958676e-08,-9.06512802958676e-08
286.591,32.455,-25.213,3.26015874301235e-07,7.29692821372876e-08,-7.29692821372876e-08
361.014,45.788,-41.968,2.70415978442832e-07,6.08163512203634e-08,-6.08163512203634e-08
501.402,85.927,-94.6,1.84157003455325e-07,4.15368247406084e-08,-4.15368247406084e-08
660.802,56.907,-73.473,2.13337364966542e-07,4.81229555160832e-08,-4.81229555160832e-08
788.425,74.707,-70.716,1.45071161125227e-07,3.11235395005047e-08,-3.11235395005047e-08
4376.561,272.005,-235.805,3.31460233462881e-08,8.67915455317321e-09,-8.67915455317321e-09
4743.604,140.650,-95.038,5.04965208782923e-08,1.13785384920576e-08,-1.13785384920576e-08
5048.498,126.600,-164.244,3.710299426553e-08,8.8134600523123e-09,-8.8134600523123e-09
60343.161,3551.729,-2990.99,1.07670186573657e-08,2.53251616456874e-09,-2.53251616456874e-09
74433.216,12454.615,-7246.814,1.47290971229829e-08,2.46123188538612e-09,-2.46123188538612e-09
483804.151,130410.557,-78257.376,2.28260699628177e-09,5.99413682770467e-10,-5.99413682770467e-10
768772.056,241201.053,-126752.284,4.90000707753057e-10,1.85167951541066e-10,-1.85167951541066e-10
