Times,Freqs,Fluxes,FluxErrs
2.099610E+02,2.000000E+18,4.101293E-04,9.188375E-05
2.398750E+02,2.000000E+18,4.054047E-04,9.065128E-05
2.865910E+02,2.000000E+18,3.260159E-04,7.296928E-05
3.610140E+02,2.000000E+18,2.704160E-04,6.081635E-05
5.014020E+02,2.000000E+18,1.841570E-04,4.153682E-05
6.608020E+02,2.000000E+18,2.133374E-04,4.812296E-05
7.884250E+02,2.000000E+18,1.450712E-04,3.112354E-05
4.376561E+03,2.000000E+18,3.314602E-05,8.679155E-06
4.743604E+03,2.000000E+18,5.049652E-05,1.137854E-05
5.048498E+03,2.000000E+18,3.710299E-05,8.813460E-06
6.034316E+04,2.000000E+18,1.076702E-05,2.532516E-06
7.443322E+04,2.000000E+18,1.472910E-05,2.461232E-06
4.838042E+05,2.000000E+18,2.282607E-06,5.994137E-07
7.687721E+05,2.000000E+18,4.900007E-07,1.851680E-07
