Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
72178.978,97.308,-78.204,2.35050840271757e-07,5.31681530858788e-08,-5.31681530858788e-08
72354.880,59.308,-78.594,1.99770167063697e-07,4.48240614935658e-08,-4.48240614935658e-08
72512.961,66.710,-98.773,1.14629343839451e-07,2.5898987488921e-08,-2.5898987488921e-08
72677.161,140.701,-97.49,1.12362276985637e-07,1.83939606095964e-08,-1.83939606095964e-08
73386.399,81.513,-93.999,8.62419569449382e-08,1.94627367883275e-08,-1.94627367883275e-08
73580.969,87.529,-113.057,8.90198699705255e-08,2.01129213971175e-08,-2.01129213971175e-08
73869.057,82.767,-200.559,1.5627733634876e-07,3.55543028391689e-08,-3.55543028391689e-08
74138.833,169.027,-187.009,7.91061813204823e-08,1.33802996840674e-08,-1.33802996840674e-08
187590.818,277.143,-332.137,2.80293714042978e-08,7.35327100335236e-09,-7.35327100335236e-09
187991.897,119.274,-123.936,7.0741812336237e-08,1.84003669937224e-08,-1.84003669937224e-08
188546.348,299.454,-435.177,2.65241943097543e-08,6.55372917839143e-09,-6.55372917839143e-09
193161.698,315.129,-309.194,2.8928678666871e-08,7.60206950475863e-09,-7.60206950475863e-09
193824.789,431.803,-347.961,3.41198253718983e-08,7.42548256067714e-09,-7.42548256067714e-09
