Times,Freqs,Fluxes,FluxErrs
7.217898E+04,2.000000E+18,2.350508E-04,5.316815E-05
7.235488E+04,2.000000E+18,1.997702E-04,4.482406E-05
7.251296E+04,2.000000E+18,1.146293E-04,2.589899E-05
7.267716E+04,2.000000E+18,1.123623E-04,1.839396E-05
7.338640E+04,2.000000E+18,8.624196E-05,1.946274E-05
7.358097E+04,2.000000E+18,8.901987E-05,2.011292E-05
7.386906E+04,2.000000E+18,1.562773E-04,3.555430E-05
7.413883E+04,2.000000E+18,7.910618E-05,1.338030E-05
1.875908E+05,2.000000E+18,2.802937E-05,7.353271E-06
1.879919E+05,2.000000E+18,7.074181E-05,1.840037E-05
1.885463E+05,2.000000E+18,2.652419E-05,6.553729E-06
1.931617E+05,2.000000E+18,2.892868E-05,7.602070E-06
1.938248E+05,2.000000E+18,3.411983E-05,7.425483E-06
