Times,TimeBnds,TimeBndsNeg,Fluxes,FluxErrs,FluxErrsNeg
179.044,11.158,-8.901,2.28996073129805e-05,5.14903057144215e-06,-5.14903057144215e-06
203.100,9.668,-12.898,1.31695438717396e-05,2.82196707673299e-06,-2.82196707673299e-06
230.040,15.323,-17.273,4.94985201295743e-06,1.10989477965451e-06,-1.10989477965451e-06
262.958,20.014,-17.596,2.58621548919485e-06,5.67351765928673e-07,-5.67351765928673e-07
297.962,20.113,-14.99,4.10394603942455e-06,9.21498805734848e-07,-9.21498805734848e-07
339.856,30.873,-21.781,4.31155948193145e-06,9.69464251252174e-07,-9.69464251252174e-07
415.294,53.220,-44.566,2.58664149420457e-06,5.82423747500843e-07,-5.82423747500843e-07
498.889,39.830,-30.375,2.51826889080943e-06,5.66239006308886e-07,-5.66239006308886e-07
576.506,32.418,-37.787,2.1276164336484e-06,4.79735652969495e-07,-4.79735652969495e-07
636.633,39.988,-27.71,2.28097171299802e-06,5.172025271583e-07,-5.172025271583e-07
722.333,42.045,-45.711,1.8504232808354e-06,4.18988974473722e-07,-4.18988974473722e-07
836.725,75.579,-72.348,1.67984433720059e-06,3.09554015010563e-07,-3.09554015010563e-07
6908.484,266.492,-395.435,7.22951380349148e-08,1.51928776460298e-08,-1.51928776460298e-08
14534.047,4108.529,-2156.091,4.33191302705903e-08,8.45321907711144e-09,-8.45321907711144e-09
52520.757,34474.100,-12337.778,1.41300911287949e-08,2.94223286846709e-09,-2.94223286846709e-09
