Times,Freqs,Fluxes,FluxErrs
1.790440E+02,2.000000E+18,2.289961E-02,5.149031E-03
2.031000E+02,2.000000E+18,1.316954E-02,2.821967E-03
2.300400E+02,2.000000E+18,4.949852E-03,1.109895E-03
2.629580E+02,2.000000E+18,2.586215E-03,5.673518E-04
2.979620E+02,2.000000E+18,4.103946E-03,9.214988E-04
3.398560E+02,2.000000E+18,4.311559E-03,9.694643E-04
4.152940E+02,2.000000E+18,2.586641E-03,5.824237E-04
4.988890E+02,2.000000E+18,2.518269E-03,5.662390E-04
5.765060E+02,2.000000E+18,2.127616E-03,4.797357E-04
6.366330E+02,2.000000E+18,2.280972E-03,5.172025E-04
7.223330E+02,2.000000E+18,1.850423E-03,4.189890E-04
8.367250E+02,2.000000E+18,1.679844E-03,3.095540E-04
6.908484E+03,2.000000E+18,7.229514E-05,1.519288E-05
1.453405E+04,2.000000E+18,4.331913E-05,8.453219E-06
5.252076E+04,2.000000E+18,1.413009E-05,2.942233E-06
